feature_id,surface,feature_name,user_story,expected_behavior,coverage_target,coverage_source,owning_files,existing_checks,verification_command,command_name,command_level,command_safety,command_class,verification_mode,expected_failure_class,live_dependency,mutates_state,release_gate_id,baseline_latency_ms,post_fix_latency_ms,code_status,host_status,optimization_opportunity,optimization_verdict,optimization_evidence,proof_type,status,last_result,errors,next_action
CLI-001,daily,Human-readable core status,"As an operator, I want a concise health summary so I can see whether core Telegram control-plane checks are blocking me.",telegram-status renders core profile health in text by default and exits non-zero only when the core profile fails.,feature:CLI-001,feature-status-inventory,bin/telegram-status; src/telegram_control_plane/cli.py; src/telegram_control_plane/doctor.py,tests/test_doctor.py; tests/test_control_plane.py,./bin/telegram-status,telegram-status,daily,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-002,daily,Core doctor JSON,"As an operator, I want a machine-readable core doctor so agents can fail closed on blocking local defects.","telegram-doctor --json builds the core profile registry, writes generated/observed-registry.json unless disabled, summarizes components/findings, and returns exit 1 on fail.",feature:CLI-002,feature-status-inventory,bin/telegram-doctor; src/telegram_control_plane/doctor.py; src/telegram_control_plane/doctor_profiles.py; src/telegram_control_plane/cli.py,tests/test_doctor.py; tests/test_control_plane.py,./bin/telegram-doctor --json --no-write-registry,telegram-doctor,daily,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-003,daily,Agent next action triage,"As an agent, I want tgc next to tell me the safest next action instead of guessing from raw doctor output.","tgc next runs the selected doctor profile, maps findings to drill-down commands, and returns prioritized next actions.",feature:CLI-003,feature-status-inventory,bin/tgc; src/telegram_control_plane/next_actions.py; src/telegram_control_plane/command_registry.py,tests/test_next_actions.py; tests/test_command_registry.py,./bin/tgc next --json,tgc,daily,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-004,daily,Command registry,"As an agent, I want one command registry so wrappers, docs, safety levels, and examples cannot drift.","tgc commands --json emits every public bin wrapper except sourced helpers with level, safety, purpose, example, and optional component.",feature:CLI-004,feature-status-inventory,bin/tgc; src/telegram_control_plane/command_registry.py; bin/*,tests/test_command_registry.py,./bin/tgc commands --json,tgc,daily,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-005,live,Live Telegram kit CLI,"As an agent, I want tg read/search commands so simple current Telegram reads avoid broad maintenance checks.",tg dispatches through telegram-kit local entrypoints for read today/recent/search and stays read-only for current read workflows.,feature:CLI-005,feature-status-inventory,bin/tg; bin/telegram-kit; README.md; AGENTS.md,tests/test_kit_install.py; tests/test_command_registry.py,./bin/tg --help,tg,live,read-only,live-smoke,live,none,true,false,,,,pass,pass,track latency and data_source; keep live-only path from falling back to mirror/archive,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-006,live,Fast read today shortcut,"As an agent, I want a direct fast read for today's messages so low-stakes current reads are quick and live-only.","telegram-fast-read-today uses the local MCP HTTP daemon for bounded today reads, reports live gaps if unavailable, and does not route to mirror/archive.",feature:CLI-006,feature-status-inventory,bin/telegram-fast-read-today; src/telegram_control_plane/audits.py; plugin/skills/telegram/SKILL.md,tests/test_live_smoke.py; tests/test_doctor.py,./bin/telegram-fast-read-today me --limit 1,telegram-fast-read-today,live,read-only,live-smoke,live,none,true,false,,878,94,pass,pass,stabilize live MCP read and track latency/data_source after reliability is fixed,improved,Live MCP read stabilized by Telethon constructor compatibility aliases; fast-read passed 3 consecutive runs and golden read smoke passed 5/5 dialogs.,command-json,tested_pass,fast_read_adapter ok,,keep covered
CLI-007,mirror,Mirror fast status/read/search,"As an operator, I want read-only mirror access so I can inspect local exports without starting recovery jobs.","telegram-mirror-fast supports status, read, and search over configured local exports only, returning warnings for missing targets.",feature:CLI-007,feature-status-inventory,bin/telegram-mirror-fast; src/telegram_control_plane/mirror_fast.py; policy/mirror.json,tests/test_mirror_fast.py,./bin/telegram-mirror-fast status --json,telegram-mirror-fast,mirror,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-008,drilldown,MCP surface audit,"As an operator, I want to verify the owner-local full MCP surface so agents can use the intended tools safely.","telegram-mcp-surface checks policy-required tools, account probes, plugin allowedTools absence, and legacy facade comparison.",feature:CLI-008,feature-status-inventory,bin/telegram-mcp-surface; src/telegram_control_plane/audits.py; src/telegram_control_plane/surface_contract.py; policy/surface-contract.json,tests/test_control_plane.py; tests/test_surface_contract.py; tests/test_mcp_surface_probe.py,./bin/telegram-mcp-surface --json,telegram-mcp-surface,drilldown,read-only,read-only,live,none,true,false,mcp-surface,,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate mcp-surface.,command-json,tested_pass,mcp_surface ok,,keep covered
CLI-009,drilldown,MCP profile audit,"As an operator, I want to audit MCP tool profiles so default/full/admin profile configuration is explicit.",telegram-mcp-profiles reports profile policy/configuration status for MCP tool surfaces.,feature:CLI-009,feature-status-inventory,bin/telegram-mcp-profiles; src/telegram_control_plane/audits.py; policy/surface-contract.json,tests/test_doctor.py; tests/test_command_registry.py,./bin/telegram-mcp-profiles --json,telegram-mcp-profiles,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,mcp_profiles ok,,keep covered
CLI-010,drilldown,Source routing audit,"As an agent, I want source routing policy checks so today/latest/send/media tasks never silently use archive evidence.","telegram-source-routing-audit verifies live_mcp, telegram_mirror, and telecrawl_archive rules and claims.",feature:CLI-010,feature-status-inventory,bin/telegram-source-routing-audit; src/telegram_control_plane/source_routing.py; src/telegram_control_plane/source_evidence.py; policy/source-routing.json,tests/test_source_routing.py,./bin/telegram-source-routing-audit --json,telegram-source-routing-audit,drilldown,read-only,read-only,local,none,false,false,source-routing-audit,103,,pass,pass,measure baseline and compare before changing,improved,Direct executable wrapper path was repaired and covered by command smoke.,command-json,tested_pass,source_routing ok,,keep covered
